id,source,title,year,page_url,pdf_url_hint,license,commercial_use,clinical_domain,priority
ASCO-001,ASCO,Adjuvant Therapy for Stage II Colon Cancer,2022,https://ascopubs.org/doi/10.1200/JCO.21.02538,,ASCO ©,restricted,oncology,high
ASCO-002,ASCO,Management of Anxiety and Depression in Adult Cancer Survivors,2023,https://ascopubs.org/doi/10.1200/JCO.23.00293,,ASCO ©,restricted,oncology,high
ASCO-003,ASCO,Selection of Optimal Adjuvant Chemotherapy Regimens for HER2-negative breast cancer,2022,https://ascopubs.org/doi/10.1200/JCO.21.02510,,ASCO ©,restricted,oncology,high
ASCO-004,ASCO,Hereditary Breast Cancer Genetic Testing,2024,https://ascopubs.org/doi/10.1200/JCO.23.02225,,ASCO ©,restricted,oncology,high
ASCO-005,ASCO,Therapy for Stage IV NSCLC With Driver Alterations,2022,https://ascopubs.org/doi/10.1200/JCO.21.01034,,ASCO ©,restricted,oncology,high
ASCO-006,ASCO,Antiemetics for Cancer Patients,2024,https://ascopubs.org/doi/10.1200/JCO.24.00040,,ASCO ©,restricted,oncology,high
ASCO-007,ASCO,Cancer Pain Management in Adults,2023,https://ascopubs.org/doi/10.1200/JCO.23.01272,,ASCO ©,restricted,oncology,high
ASCO-008,ASCO,Management of Stage III NSCLC,2022,https://ascopubs.org/doi/10.1200/JCO.21.02528,,ASCO ©,restricted,oncology,high
ASCO-009,ASCO,Treatment of Pancreatic Adenocarcinoma,2020,https://ascopubs.org/doi/10.1200/JCO.20.01364,,ASCO ©,restricted,oncology,high
ASCO-010,ASCO,Adjuvant Endocrine Therapy for Breast Cancer,2022,https://ascopubs.org/doi/10.1200/JCO.21.02675,,ASCO ©,restricted,oncology,high
ASCO-011,ASCO,Cancer-related fatigue management,2023,https://ascopubs.org/doi/10.1200/JCO.23.01236,,ASCO ©,restricted,oncology,medium
ASCO-012,ASCO,Survivorship Care After Curative Treatment,2022,https://ascopubs.org/doi/10.1200/JCO.21.02661,,ASCO ©,restricted,oncology,medium
ESMO-001,ESMO,Early Breast Cancer Diagnosis Treatment Follow-up,2024,https://www.esmo.org/guidelines/breast-cancer/early-breast-cancer,,ESMO ©,restricted,oncology,high
ESMO-002,ESMO,Metastatic Breast Cancer,2024,https://www.esmo.org/guidelines/breast-cancer/metastatic-breast-cancer,,ESMO ©,restricted,oncology,high
ESMO-003,ESMO,Colorectal Cancer Treatment,2023,https://www.esmo.org/guidelines/gastrointestinal-cancers/colorectal-cancer,,ESMO ©,restricted,oncology,high
ESMO-004,ESMO,NSCLC Stage IV Treatment,2023,https://www.esmo.org/guidelines/lung-and-chest-tumours/non-small-cell-lung-cancer,,ESMO ©,restricted,oncology,high
ESMO-005,ESMO,Hepatocellular Carcinoma,2024,https://www.esmo.org/guidelines/gastrointestinal-cancers/hepatocellular-carcinoma,,ESMO ©,restricted,oncology,high
ESMO-006,ESMO,Pancreatic Cancer Treatment,2023,https://www.esmo.org/guidelines/gastrointestinal-cancers/pancreatic-cancer,,ESMO ©,restricted,oncology,high
ESMO-007,ESMO,Prostate Cancer Treatment,2024,https://www.esmo.org/guidelines/genitourinary-cancers/prostate-cancer,,ESMO ©,restricted,oncology,high
ESMO-008,ESMO,Cervical Cancer Treatment,2024,https://www.esmo.org/guidelines/gynaecological-cancers/cervical-cancer,,ESMO ©,restricted,oncology,high
ESMO-009,ESMO,Ovarian Cancer Treatment,2024,https://www.esmo.org/guidelines/gynaecological-cancers/ovarian-cancer,,ESMO ©,restricted,oncology,high
ESMO-010,ESMO,Cancer Pain Management,2023,https://www.esmo.org/guidelines/supportive-and-palliative-care/cancer-pain,,ESMO ©,restricted,oncology,high
EULAR-001,EULAR,Rheumatoid Arthritis Management,2023,https://ard.bmj.com/content/82/1/3,,EULAR/BMJ ©,restricted,rheumatology,high
EULAR-002,EULAR,Systemic Lupus Erythematosus Treatment,2024,https://ard.bmj.com/content/83/1/15,,EULAR/BMJ ©,restricted,rheumatology,high
EULAR-003,EULAR,Psoriatic Arthritis Treatment,2024,https://ard.bmj.com/content/83/6/706,,EULAR/BMJ ©,restricted,rheumatology,high
EULAR-004,EULAR,Spondyloarthritis Management,2023,https://ard.bmj.com/content/82/1/19,,EULAR/BMJ ©,restricted,rheumatology,high
EULAR-005,EULAR,ANCA-Associated Vasculitis Management,2024,https://ard.bmj.com/content/83/1/30,,EULAR/BMJ ©,restricted,rheumatology,high
EULAR-006,EULAR,Sjögren Syndrome Management,2020,https://ard.bmj.com/content/79/1/3,,EULAR/BMJ ©,restricted,rheumatology,medium
EULAR-007,EULAR,Gout Management,2024,https://ard.bmj.com/content/83/1/45,,EULAR/BMJ ©,restricted,rheumatology,high
EULAR-008,EULAR,Systemic Sclerosis Treatment,2023,https://ard.bmj.com/content/82/1/55,,EULAR/BMJ ©,restricted,rheumatology,medium
EULAR-009,EULAR,Polymyalgia Rheumatica Management,2023,https://ard.bmj.com/content/82/1/74,,EULAR/BMJ ©,restricted,rheumatology,medium
EULAR-010,EULAR,Giant Cell Arteritis Diagnosis Treatment,2024,https://ard.bmj.com/content/83/1/85,,EULAR/BMJ ©,restricted,rheumatology,high
ACR-001,ACR,Treatment of Rheumatoid Arthritis,2021,https://acrjournals.onlinelibrary.wiley.com/doi/10.1002/art.41752,,ACR ©,restricted,rheumatology,high
